state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,AKKO,DOLLI PRIMARY SCHOOL,,,AKKO,ALONG DOLLI YAMMA,1160110028,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,138,135,273
GOMBE,AKKO,DONDORIYA PRIMARY SCHOOL,10.060052,11.255957,KUMO EAST,"3KM EAST OF KUMO, BANGU ROAD",1160110029,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,120,182,302
GOMBE,AKKO,DONGORU,9.950658,11.045284,KASHERE,BEHIND JAURO RESIDENCE DONGORU,1160110030,Pre-Primary and Primary,Rural,Regular,No,Other,No Health facility,Yes,No,Yes,2020/2021,110,77,187
GOMBE,AKKO,DONGOL  PRIMARY SCHOOL,9.912922,11.067967,KASHERE,ALONG BILLIRI ROAD KASHERE,1160110031,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,Yes,Yes,2020/2021,114,103,217
GOMBE,AKKO,FESHARE,9.990292,11.076525,TUMU,FESHARE,1160110032,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,85,31,116
GOMBE,AKKO,FUKURA PRIMARY SCHOOL,10.138033,11.234812,KALSHINGI,FUKURA,1160110033,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,195,45,240
GOMBE,AKKO,GADAWO PRIMARY SCHOOL,,,KUMO WEST,ALONG YOLA ROAD,1160110035,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,Yes,2020/2021,341,247,588
GOMBE,AKKO,GAMAWA TUKULMA PRIMARY SCHOOL,10.072471,11.006126,TUKULMA,NEAR MARKET,1160110036,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,24,27,51
GOMBE,AKKO,GAMAWA PRIMARY SCHOOL,,,LEMBI,GAMAWA,1160110037,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,123,90,213
GOMBE,AKKO,GAMADADI PRIMARY SCHOOL,10.301377,10.925292,AKKO,GAMADADI ALONG BAUCHI ROAD,1160110038,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,No,Yes,2020/2021,173,80,253
GOMBE,AKKO,GARKO PRIMARY SCHOOL,10.177091,11.162249,GARKO,ALONG GONA KALSHINGI ROAD,1160110039,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,Yes,2020/2021,192,97,289
GOMBE,AKKO,GARWA,9.83556,10.986738,KASHERE,ALONG TONGO MANURU ROAD,1160110040,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,Health Clinic,Yes,No,No,2020/2021,96,114,210
GOMBE,AKKO,GARIN ALI TUMUDE PRIMARI SCHOOL,,,KUMO WEST,G.ALI TUMUDE,1160110041,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,73,41,114
GOMBE,AKKO,GOKARU PRIMARY SCHOOL,,,TUKULMA,GOKARU   ALONG TUMU ROAD,1160110042,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,133,86,219
GOMBE,AKKO,GONA PRIMARY SCHOOL,10.211645,11.110503,GARKO,GONA,1160110043,Pre-Primary and Primary,Rural,Regular,No,Other,No Health facility,No,No,No,2020/2021,130,77,207
GOMBE,AKKO,GUDA LAMIDO,9.5241053,10.59,KASHERE,BEHIND CENTRAL MOSQUE GUDA LAMIDO,1160110044,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,159,68,227
GOMBE,AKKO,GUJUBA PRIMARY SCHOOL,10.157693,11.204873,KALSHINGI,GARKO ROAD,1160110045,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,191,113,304
GOMBE,AKKO,GUJUBAWO PRIMARY SCHOOL,,,PINDIGA,GUJUBAWO,1160110046,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,87,76,163
GOMBE,AKKO,GULMARI,10.034501,11.044681,TUMU,ALONG PINDIGA ROAD,1160110047,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,52,40,92
GOMBE,AKKO,GWARAM   PRIMARY SCHOOL,9.933265,11.60688,KASHERE,GWARAM,1160110048,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,Yes,No,2020/2021,213,130,343
GOMBE,AKKO,GARIN ALKALI PRIMARY SCHOOL,9.979233,10.974492,PINDIGA,NEAR JAURO HOUSE,1160110049,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,Yes,Yes,2020/2021,312,176,488
GOMBE,AKKO,GARIN BABUGA,,,KUMO WEST,"ALONG KUMO - GOMBE ROAD NEAR, GADAWO",1160110050,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,Yes,Yes,Yes,2020/2021,158,132,290
GOMBE,AKKO,G. BAKARI,10.0354,11.2473,KUMO EAST,G. BAKARI,1160110051,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,147,123,270
GOMBE,AKKO,GARIN BUNU PRIMARY SCHOOL,100.07833,11.126722,KUMO WEST,G. BUNU,1160110052,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,201,216,417
GOMBE,AKKO,GARIN  CHIROMA KIDDA,,,KUMO EAST,G. CHIROMA K.,1160110053,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,74,69,143
GOMBE,AKKO,G. LAWAL   PRIMARY SCHOOL,10.05635,11.308048,KUMO EAST,G. LAWAL,1160110054,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,307,165,472
GOMBE,AKKO,GARIN LIMAN,10055806.0,11201535.0,KUMO WEST,G. LIMAN,1160110055,Pre-Primary and Primary,Urban,Regular,Yes,Borehole,First Aid Kit,Yes,Yes,No,2020/2021,846,900,1746
GOMBE,AKKO,G. JAJI,,,KASHERE,ALONG GARWA ROAD,1160110056,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,113,87,200
GOMBE,AKKO,GARIN RIJIYA PRIMARY SCHOOL,9.946405,10.989183,PINDIGA,"NEAR BOREHOLE, ALONG KASHERE ROAD",1160110057,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,Yes,2020/2021,200,95,295
GOMBE,AKKO,GARIN  KACHALLA,10.05796756,11.62318292,KUMO WEST,GARIN  KACHALLA,1160110058,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,142,96,238
GOMBE,AKKO,G. GARBA PRMARY SCHOOL,10.287758,11.56131,LAMBI,AFTER MAKABARTA GARIN GARBA,1160110059,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,112,34,146
GOMBE,AKKO,GARIN SAKI,85.555,30.933,AKKO,ALONG BULA ROAD,1160110060,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,231,177,408
GOMBE,AKKO,GARIN SIDDIKI PRIMARY SCHOOL,10.162424,11.025649,TUKULMA,G. SIDDIKI,1160110061,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,67,57,124
GOMBE,AKKO,G. WAZIRI PRIMARY SCHOOL,10.0264825,11.282148,KUMO EAST,OFF KUMO KEMBU ROAD,1160110062,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,90,74,164
GOMBE,AKKO,G. YABANO PRIMARY SCHOOL,9.966582,10.994702,KASHERE,NEAR JAURO PALACE,1160110063,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,134,75,209
GOMBE,AKKO,HAMMADU KAFI PRIMARY SCHOOL,10.256552,11.165784,GARKO,HAMMADU KAFI ALONG BYEPASS NEAR MARAFA MOSQUE,1160110065,Pre-Primary and Primary,Rural,Regular,Yes,Other,First Aid Kit,No,No,Yes,2020/2021,1143,1094,2237
GOMBE,AKKO,HAMMASEYO,9.84757,10959684.0,KASHERE,HAMMA SEYO,1160110066,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,30,13,43
GOMBE,AKKO,JABBA PRIMARY SCHOOL,9.9928,11.06436,TUMU,JABBA,1160110067,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,Yes,Yes,2020/2021,107,72,179
GOMBE,AKKO,J. BABAWURO,10.3416,11.8670199,GONA,ALONG ARAWA QUARTERS WURO YERIMA,1160110068,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,125,79,204
GOMBE,AKKO,JAURO BOSE PRIMARY SCHOOL,10.075363,11.200997,KUMO CENTRAL,BEHIND NORTH WEST BORE HOLD,1160110071,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,126,123,249
GOMBE,AKKO,JAURO GALE PRIMARY SCHOOL,10.059527,11.260607,KUMO EAST,3KM EASTEN PART OF KUMO,1160110072,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,No,No,2020/2021,151,133,284
GOMBE,AKKO,JAUROJI PRIMARY SCHOOL,10.040498,11.2077085,KUMO WEST,JAUROJI,1160110074,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,575,542,1117
GOMBE,AKKO,JAURO MUSA,9.904187,11.010053,KUMO WEST,JAURO MUSA,1160110075,Pre-Primary and Primary,Urban,Regular,No,Borehole,First Aid Kit,No,No,Yes,2020/2021,299,283,582
GOMBE,AKKO,JAURO TUKUR SABUWA  PRIMARY SCHOOL,10.059262,11.208365,KUMO CENRAL,ALONG ENGINEER ALI SA'AD STREET KUMO,1160110076,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,635,471,1106
GOMBE,AKKO,JAUROWAL PRIMARY SCHOOL,,,PINDIGA,JAUROWAL,1160110077,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,74,30,104
GOMBE,AKKO,JUNGUDO DEGA,,,GARKO,JUNGUDO D,1160110079,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,No,Yes,2020/2021,31,11,42
GOMBE,AKKO,JURARA PRIMARY SCHOOL,10.123106,11.046191,TUKULMA,JURARA,1160110080,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,48,62,110
GOMBE,AKKO,JAURO GIDADO PRIMARY SCHOOL,101028.0,111121.0,GARKO,"ALONG GARKO ROAD, JAURO GIDADO",1160110081,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,117,83,200
GOMBE,AKKO,KAFIN SULE   PRIMARY SCHOOL,,,KASHERE,K/ SULE,1160110082,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,,No,No,2020/2021,158,106,264
GOMBE,AKKO,KALGAMARI RIMARY SCHOOL,9.917512,11.020377,KASHERE,KALGAMARI,1160110083,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,206,147,353
GOMBE,AKKO,KALTANGA,9.918322,11.011762,KASHERE,KALTANGA,1160110084,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,128,86,214
GOMBE,AKKO,KARTAU JABE PRIMARY SCHOOL,10.157,11.175,GARKO,GARKO KALSHINGI ROAD,1160110085,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,126,137,263
GOMBE,AKKO,KALAJANGA  TABRA PRIMARY SCHOOL,10.015,11.13,GARKO,ADJACENT JAURO'S RESIDENCE KALAJANGA,1160110086,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,158,147,305
GOMBE,AKKO,KALAJANGA PRIMARY SCHOOL,9.974278,11.081068,TUMU,ALONG SAMBO DAJI ROAD,1160110087,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,38,22,60
GOMBE,AKKO,KALSHINGI CENTRAL PRIMARY SCHOOL,10.171722,11.248113,KALSHINGI,KALSHINGI,1160110089,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,496,544,1040
GOMBE,AKKO,KAYEL BAGA  PRIMARY SCHOOL,1000.116,11158929.0,KUMO WEST,KAYEL BAGA,1160110090,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,260,146,406
GOMBE,AKKO,CENTRAL PRIMARY SCHOOL KASHERE,,,KASHERE,SANTURAKI STREET KASHERE,1160110091,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,772,508,1280
GOMBE,AKKO,KEMBU,10.045938,11.295273,KUMO EAST,KEMBU,1160110092,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,431,243,674
GOMBE,AKKO,KIDDA PRIMARY SCHOOL,39.27168,26.1858,KUMO EAST,ALONG PROJECT STREET,1160110094,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,165,78,243
GOMBE,AKKO,KILAWA,,,TUMU,ALONG TUMU ROAD,1160110095,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,No,No,2020/2021,108,68,176
GOMBE,AKKO,KOBUWA,10010783.0,11167289.0,KUMO WEST,KOBUWA,1160110096,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,Yes,No,2020/2021,288,224,512
GOMBE,AKKO,KOBUWA FULANI PRIMARY SCHOOL,10.019988,11.1433,KUMO WEST,NORTH TO MAI GANGA COAL MINE,1160110097,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,142,66,208
GOMBE,AKKO,KOMBANI ISA,,,PINDIGA,KUBANI ISA,1160110098,Pre-Primary and Primary,Rural,Regular,No,Pipe borne Water,No Health facility,No,No,No,2020/2021,66,53,119
GOMBE,AKKO,KOMBANI YAYA PRIMARY SCHOOL,10.047529,11.014274,TUMU,KOMBANI YAYA,1160110099,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,132,123,255
GOMBE,AKKO,KOMBANI SHABBAL,10.083447,11.181824,KUMO CENTRAL,NEAR SHABBAL TOWN,1160110100,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,Yes,No,No,2020/2021,75,96,171
GOMBE,AKKO,KUFA,,,KASHERE,KUFA,1160110101,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,220,133,353
GOMBE,AKKO,KUNJI PRIMARY SCHOOL,10.068734,11.309085,KUMO EAST,ALONG HEAD HOUSE KUNJI,1160110102,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,250,107,357
GOMBE,AKKO,KULUM PRIMARY SCHOOL,10.157687,11.20494,KALSHINGI,GUJIBA,1160110103,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,180,118,298
GOMBE,AKKO,KUNDULUM PRIMARY SCHOOL,10.321229,11.173681,GARKO,"UNIVERSITY ROAD AFTER ARAWA B., KUNDULUM",1160110104,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,Yes,No,Yes,2020/2021,396,503,899
GOMBE,AKKO,LADEN PRIMARY SCHOOL,9.956487,11.094081,TUMU WAD,LADEN HAMMAMANLE STREET NEAR MOSQUE,1160110105,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,No,Yes,2020/2021,124,83,207
GOMBE,AKKO,LAFIYAWO,10.288405,11.063977,AKKO,ALONG GOMBE-BAUCHI ROAD,1160110106,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,144,92,236
GOMBE,AKKO,LAMBA,10.044297,11.183243,KUMO CENTRE,ALONG ZANGE ROAD,1160110107,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,No,No,2020/2021,158,79,237
GOMBE,AKKO,LAMIDO FUTUK PRIMARY SCHOOL,10.038511,11.1946,KUMO WEST,"ADJACENT HEALTH CARE CENTRE, LAMIDO FUTUK",1160110108,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,335,384,719
GOMBE,AKKO,LARIYE PRIMARY SCHOOL,10.159236,11.298944,KALSHINGI,LARIYE,1160110109,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,169,78,247
GOMBE,AKKO,LATE,32.39172,7.59732,KUMO EAST,LATE,1160110110,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,Yes,No,Yes,2020/2021,96,51,147
GOMBE,AKKO,LAWANTI PRIMARY SCHOOL,10307582.0,10921995.0,AKKO,ALONG GOMBE INTERNATIONAL AIRPORT,1160110111,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,167,117,284
GOMBE,AKKO,LAYARI,9.94931,11.01343,KASHERE,"LAYARI       ALONGKAIGAMARINROAD, KASHERE",1160110112,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,98,88,186
GOMBE,AKKO,LEMBI PRIMARY SCHOOL,10.123758,11.198279,LEMBE,"ALONG KUMO ROAD NEAR GONA, GARKO KALSHINGI",1160110113,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,128,84,212
GOMBE,AKKO,LEMBIYEL    PRIMARY SCHOOL,10.048242,11.264238,KUMO EAST,ALONG KEMBU ROAD,1160110114,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,240,150,390
GOMBE,AKKO,LERGO,10087268.0,11199134.0,KUMO CENTRAL,LERGO,1160110115,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,No,Yes,2020/2021,117,43,160
GOMBE,AKKO,LIMAN BABBA,10.273141,11.273105,GARKO,"BEHIND MINISTRY OF EDUCATION HEADQUARTERS, GOMBE",1160110116,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,Yes,2020/2021,102,104,206
GOMBE,AKKO,LONDO KOROTI,10.61,11.121,KUMO CENRAL,LONDO KRT,1160110117,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,342,253,595
GOMBE,AKKO,LOMBO DAJI PRIMARY SCHOOL,,,PINDIGA,LOMBO DAJI,1160110118,Pre-Primary and Primary,Rural,Regular,No,,,,No,No,2020/2021,120,36,156
GOMBE,AKKO,LUGGAREWO PRIMARY SCHOOL,10.24424748,11.61582992,KUMO WEST,LUGGAREWO,1160110119,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,Yes,No,Yes,2020/2021,68,36,104
GOMBE,AKKO,MAIDUGU,10.137256,11.190433,LAMBI,MAIDUGU,1160110120,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,148,94,242
GOMBE,AKKO,MAIGANGA PRIMARY SCHOOL,9980559.0,11150123.0,KUMO WEST,MAIGANGA,1160110121,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,72,73,145
GOMBE,AKKO,MAJIDADI JALO,10.030288,11.261197,KUMO EAST,MAJIDADI JALO,1160110122,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,142,80,222
